UID          PID    PPID  C STIME TTY          TIME CMD
root        3402    3114  0 May27 ?        00:00:27 /usr/local/bin/python3.11 /usr/local/bin/celery -A app.workers.celery_app beat --loglevel=info --schedule=/tmp/celerybeat-schedule
root        3419    3287  0 May27 ?        00:00:00 /bin/bash /opt/postal/app/bin/postal smtp-server
root        3430       1  0 May27 ?        02:52:39 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 8d8c6998af52ca890a1153da0d0b143a9ce116ab17b6d0d2e2f802bb3db48653 -address /run/containerd/containerd.sock
root        3435       1  0 May27 ?        00:28:05 /usr/bin/containerd-shim-runc-v2 -namespace moby -id e7e1a4240a8a5f13c59ad15fbb63d9dc80857d8af21bb1b5799d495ffc913589 -address /run/containerd/containerd.sock
root        3466       1  0 May27 ?        00:53:20 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 80a84b796d61761ebe3b4a4762b3c5b7cf6226f917ceba2ec22aeab775e222ce -address /run/containerd/containerd.sock
root        3497    3326  0 May27 ?        00:00:00 sh -c echo '🔍 Starting Discovery Orchestrator...' &&  while true; do    echo '⏰ Running daily discovery at' $(date) &&    php artisan discovery:daily --force &&    echo '💤 Discovery completed, sleeping for 24 hours...' &&    sleep 86400  done
root        3517       1  0 May27 ?        00:29:04 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 449cb6ac2ae25ac038fdb185cf4f2f953e76d4b891fc178614cf710d3510149c -address /run/containerd/containerd.sock
1001        3548    3302  0 May27 ?        00:08:03 next-server (v
root        3604       1  0 May27 ?        01:19:43 /usr/bin/containerd-shim-runc-v2 -namespace moby -id d7023c9b29c5b365c666fbd6fcab2e695b170a53f1dd3fe4246bb944617cc720 -address /run/containerd/containerd.sock
root        3618       1  0 May27 ?        00:30:32 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 457c0533985d06c3321531b91edf536cd727ead53ba6157a972aad7a41598790 -address /run/containerd/containerd.sock
root        3634       1  0 May27 ?        01:18:45 /usr/bin/containerd-shim-runc-v2 -namespace moby -id c3bdb1619a0617e8c21cab4626079e90c61b1c6a3999c68dd38121194e87bf36 -address /run/containerd/containerd.sock
root        3645       1  0 May27 ?        02:29:42 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 35e3e4a664783beb4487daef88651e487159612ae407e09bc805bed91680df87 -address /run/containerd/containerd.sock
